# account,total,base,early,referral,loyalty,guaranteed
1UK2jYAroKwZK1z1hPaEfVTFxd6HCv5jkRg86oe5oDscukr,262.0,200.0,40.0,10.0,12.0,0
12MwXxXmbXdo9i3Lqq32Vt5xoc7o1wXV8qpbjW4QVC8Pv8Ke,25.75,12.5,2.5,10.0,0.75,0
1pea7w2PuucPqmLJjUyGBxvK7oERcopGUHkEjEiZWtdutp8,15.0,12.5,2.5,0,0,0
1ZfgWDgnDUzz3rSevJFPxsXWbjyTc3ZCmCCypBFfBDHFciR,43.75,35.0,7.0,1.75,0,0
13RGgXrzxpUyuJYGiGEzF7mrEXdMt2ueSH2X7khvs35LTDs6,250.0,200.0,40.0,10.0,0,0
12uDBgnjdEDYvr33QizJDJqiGqzMJ13EqA8QzZVBZ9cA1cFq,31.25,25.0,5.0,1.25,0,0
15TCPNySwg7K5UvhgfYMqnfmbTdDBPBqZ7kZzCr5qJqqUSJn,65.5,50.0,10.0,2.5,3.0,0
13K54wsF8qcTNs1b98D8zHd3vAPZNkJytH1b3vzBFZpP4PqH,15.625,12.5,2.5,0.625,0,0
13sTn4gKwhWopbVxnFMURC6NRKrYNmGSJEHmA5vRQg8ZCGDf,94.975,72.5,14.5,3.625,4.35,0
13Qbq8eqztbNr1fDKEFDET1B38A12EjGBseSZkv5invFD6Km,15.0,12.5,2.5,0,0,0
1smnLmG77i5MZrhPWrRJa7LMbVc2yCmytYkN6vTLgmVb5uS,30.0,25.0,5.0,0,0,0
13MijXpEK2ELbaDYsRVPBJUUihGhf4CidrSzqkEKSeGsh9uT,72.05,55.0,11.0,2.75,3.3,0
15hs7ZtP4oFe5DD4SfQkPNVRXCkYKmZdkoeUD29UGWejhm3L,312.5,250.0,50.0,12.5,0,0
19T6BbrsSjTfe6tBtrD9MpM1M57KALbfAsZFuACnzrZGmJi,21.0,17.5,3.5,0,0,0
15ijb2ovb8gGtmwDDPBF9JR5kaenAFhq5kuNeXCohtcS9R1o,30.0,25.0,5.0,0,0,0
16fXaPoUBYUwQr6sb3ZXJtdgDDbCEhcbdXk2pA9QZnvJtmsE,212.5,170.0,34.0,8.5,0,0
14TB8YTqDpsCy5oHs6xGYa6vp5FhvxF5SXayoUFGgkeE7xXd,31.5,25.0,5.0,0,1.5,0
12ranggpkXHBR1qLLyvgVz9wvk3ieJynwxNG2QQUFGmnEBwA,31.25,25.0,5.0,1.25,0,0
14TNoThHvWYqmmuv1gTycRaf3DfhC6o7oyjKx1Bd9kB3WYk5,245.75,187.5,37.5,9.5,11.25,0
13TXGYEQtJ8cTSHqvBjP88a4fXQ5FGG96eGvWiGtAMWwwjKu,15.625,12.5,2.5,0.625,0,0
155VJv9W9rFkm6GYZ4QGTRDfkFDdAYeMK4QVAJS61ht1cxu7,30.0,25.0,5.0,0,0,0
12KMtT2oxos6JdtDv3ZuHZpkjppkYNBLUWceA23uDuJ4wkye,42.0,35.0,7.0,0,0,0
